Id,Label,timeset,v_name,eigencentrality,componentnumber,pageranks,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree
n0,n0,,multiple sclerosis,0.99816,0,0.026814,8,0.154392,0.154391,2,0.975709,0.987552,4423.16818,17.803977,235
n1,n1,,relapsing remitting,0.762657,0,0.01012,8,0.119224,0.119224,2,0.660274,0.742739,201.192384,5.600969,117
n2,n2,,progressive,0.91581,0,0.015208,8,0.142686,0.142685,2,0.769968,0.850622,792.504639,11.110185,169
n3,n3,,secondary,0.814261,0,0.010894,8,0.127294,0.127293,2,0.680791,0.76556,226.840366,7.646429,128
n4,n4,,demyelination,0.884584,0,0.013625,8,0.138004,0.138003,2,0.734756,0.819502,553.212247,9.908806,154
n5,n5,,remyelination,0.794937,0,0.011064,8,0.124188,0.124187,2,0.678873,0.763485,279.014935,7.083504,127
n6,n6,,biomarker,0.779745,0,0.010814,8,0.121825,0.121825,2,0.673184,0.757261,266.506024,7.322099,124
n7,n7,,mri,0.751424,0,0.010014,8,0.117454,0.117454,2,0.656676,0.738589,208.233797,5.95026,115
n8,n8,,neurodegeneration,0.735207,0,0.009564,8,0.114964,0.114964,2,0.647849,0.728216,183.024993,5.407633,110
n9,n9,,disability,0.903255,0,0.014956,8,0.140774,0.140773,2,0.757862,0.840249,758.116373,9.733047,164
n10,n10,,stem cell,0.865156,0,0.012812,8,0.13503,0.135029,2,0.719403,0.804979,422.703884,8.928637,147
n11,n11,,transplant,0.800301,0,0.011236,8,0.124993,0.124992,2,0.68272,0.767635,296.321126,7.703525,129
n12,n12,,inflammation,0.924774,0,0.015775,8,0.144034,0.144033,2,0.779935,0.858921,891.659652,11.530564,173
n13,n13,,gut,0.675709,0,0.007899,8,0.105764,0.105764,2,0.619537,0.692946,70.179671,4.997435,93
n14,n14,,gut-brain,0.345237,0,0.003364,8,0.053997,0.053998,3,0.53915,0.573997,0.553178,1.937489,36
n15,n15,,microbiota,0.497125,0,0.005194,8,0.07776,0.07776,2,0.56974,0.622407,14.749623,2.643064,59
n16,n16,,T,1,0,0.027301,0,0.154623,0.154621,2,0.987705,0.993776,4822.653894,20.700142,238
n17,n17,,HP,0.878016,0,0.013594,8,0.136958,0.136957,2,0.732523,0.817427,552.004486,8.922498,153
n18,n18,,MB,0.838521,0,0.011732,8,0.130978,0.130978,2,0.698551,0.784232,306.561048,9.154708,137
n19,n19,,CS,0.917267,0,0.01537,8,0.142918,0.142917,2,0.769968,0.850622,838.898953,10.313411,169
n20,n20,,GC,0.847277,0,0.012746,8,0.13223,0.132229,2,0.713018,0.798755,465.078853,8.154265,144
n21,n21,,AR,0.909804,0,0.01578,0,0.141683,0.141682,2,0.772436,0.852697,942.769903,10.970372,170
n22,n22,,CP,0.795178,0,0.011505,8,0.124139,0.124138,2,0.684659,0.76971,359.142462,6.997541,130
n23,n23,,KL,0.808966,0,0.011933,8,0.126276,0.126276,2,0.692529,0.778008,405.453638,7.8493,134
n24,n24,,PC,0.816473,0,0.011691,8,0.127487,0.127487,2,0.692529,0.778008,343.490571,7.067625,134
n25,n25,,HR,0.764284,0,0.010222,0,0.1194,0.119399,2,0.663912,0.746888,208.224519,8.956155,119
n26,n26,,MOG,0.700229,0,0.00821,8,0.109618,0.109618,2,0.625974,0.701245,77.700357,5.0011,97
n27,n27,,TF,0.653079,0,0.008052,8,0.102131,0.102131,2,0.617949,0.690871,107.404119,4.702703,92
